razon_social,propietario,nombre_planta,operador,direccion,localidad,departamento,provincia,geojson,geom
YPF GAS S.A.,30515488479,SAN LORENZO,SHELL GAS S.A.|YPF GAS S.A.|,CORDOBA SILVERIO N/KM 2364 Y RUTA 11,SAN LORENZO,SAN LORENZO,SANTA FE,"{""type"":""Point"",""coordinates"":[-60.75533,-32.71314]}",0101000020E610000006D847A7AE604EC017BCE82B485B40C0
YPF GAS S.A.,30515488479,VENADO TUERTO,YPF GAS S.A.|,RUTA NACIONAL 33 N/KM 636.5,VENADO TUERTO,GENERAL LOPEZ,SANTA FE,"{""type"":""Point"",""coordinates"":[-61.95008,-33.69794]}",0101000020E6100000B64AB0389CF94EC0FE48111956D940C0
YPF GAS S.A.,30515488479,TUCUMAN,TOTAL ESPECIALIDADES ARGENTINA S.A.|YPF GAS S.A.|,LA RIOJA PROVINCIA DE N/KM 1700,SAN MIGUEL DE TUCUMAN,CAPITAL,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.21915,-26.85238]}",0101000020E6100000C7BAB88D064E50C0B5C35F9335DA3AC0
RHO S.A.,30597323189,"RUTA PROVINCIAL N 26 KM 3,5",RHO S.A.|,RUTA PROVINCIAL 26 N/KM 3.5,SALTA,CAPITAL,SALTA,"{""type"":""Point"",""coordinates"":[-65.406304,-24.846264]}",0101000020E6100000FA0E7EE2005A50C03BC8EBC1A4D838C0
SARTINI GAS SRL,30597489974,PLANTA USHUAIA,SARTINI GAS SRL|,HEROES DE MALVINAS N/KM 4620,USHUAIA,USHUAIA,TIERRA DEL FUEGO,"{""type"":""Point"",""coordinates"":[-68.229031,-54.790929]}",0101000020E61000004BB1A371A80E51C09F3A56293D654BC0
SHELL GAS S.A.,30693756517,PLANTA MATANZA,AMARILLA GAS S.A|TOTAL ESPECIALIDADES ARGENTINA S.A.|SHELL GAS S.A.|,CNO.CINTURA Y AV. LA NORIA N/KM ,LA SALADA,LA MATANZA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.499424,-34.737874]}",0101000020E6100000336B2920ED3F4DC0CB48BDA7725E41C0
SHELL GAS S.A.,30693756517,PLANTA CÓRDOBA,TOTAL ESPECIALIDADES ARGENTINA S.A.|AMARILLA GAS S.A|SHELL GAS S.A.|,AV. CAPDEVILLA N/KM 13.5,EL QUEBRACHAL,CAPITAL,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-64.07851,-31.335412]}",0101000020E61000002C9ACE4E060550C09BAF928FDD553FC0
SHELL GAS S.A.,30693756517,PLANTA CONCEPCIÓN DEL URUGUAY,SHELL GAS S.A.|,UNCAL Y ESTRADA N/KM ,CONCEPCION DEL URUGUAY,URUGUAY,ENTRE RIOS,"{""type"":""Point"",""coordinates"":[-58.261362,-32.483601]}",0101000020E610000065355D4F74214DC00DA837A3E63D40C0
SHELL GAS S.A.,30693756517,PLANTA POSADAS,YPF GAS S.A.|TOTAL ESPECIALIDADES ARGENTINA S.A.|SHELL GAS S.A.|,PARQUE INDUSTRIAL N/KM ACCESO  GARUPÁ,GARUPA,CAPITAL,MISIONES,"{""type"":""Point"",""coordinates"":[-55.827051,-27.468602]}",0101000020E6100000E28FA2CEDCE94BC017D7F84CF6773BC0
SHELL GAS S.A.,30693756517,PLANTA TUCUMÁN,AMARILLA GAS S.A|TOTAL ESPECIALIDADES ARGENTINA S.A.|SHELL GAS S.A.|,RUTA NACIONAL Nº 9 N/KM 1286,LOS VALLISTOS,CRUZ ALTA,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.170164,-26.867769]}",0101000020E610000038BD8BF7E34A50C08D7BF31B26DE3AC0
